# Total velocity (m/s),Mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
486.893,6.711,2.266,0.013,1483.927,1199.903
486.47,6.71,2.266,0.013,1484.788,1199.817
486.035,6.708,2.265,0.013,1485.684,1199.731
485.59,6.707,2.265,0.013,1486.615,1199.646
485.133,6.706,2.265,0.013,1487.583,1199.56
484.666,6.705,2.264,0.013,1488.588,1199.474
484.187,6.703,2.264,0.013,1489.631,1199.388
483.697,6.702,2.264,0.013,1490.714,1199.302
483.196,6.701,2.263,0.013,1491.837,1199.216
482.689,6.7,2.263,0.013,1492.987,1199.152
482.184,6.699,2.263,0.013,1494.145,1199.088
481.68,6.698,2.263,0.013,1495.31,1199.025
481.177,6.697,2.263,0.013,1496.479,1198.962
480.67,6.697,2.262,0.013,1497.669,1198.915
480.152,6.696,2.262,0.013,1498.899,1198.868
479.623,6.695,2.262,0.013,1500.167,1198.822
479.083,6.695,2.262,0.013,1501.476,1198.775
478.531,6.694,2.262,0.013,1502.824,1198.729
477.968,6.693,2.262,0.013,1504.212,1198.682
477.394,6.693,2.261,0.013,1505.638,1198.636
476.809,6.692,2.261,0.013,1507.097,1198.589
476.212,6.691,2.261,0.013,1508.588,1198.543
475.605,6.691,2.261,0.013,1510.118,1198.496
474.986,6.69,2.261,0.013,1511.685,1198.453
474.36,6.69,2.261,0.013,1513.282,1198.438
473.726,6.69,2.261,0.013,1514.904,1198.423
473.086,6.689,2.261,0.013,1516.551,1198.409
472.44,6.689,2.26,0.013,1518.223,1198.394
471.787,6.689,2.26,0.013,1519.913,1198.379
471.128,6.689,2.26,0.013,1521.617,1198.364
470.462,6.689,2.26,0.013,1523.338,1198.349
469.79,6.688,2.26,0.013,1525.079,1198.334
469.111,6.688,2.26,0.013,1526.84,1198.319
468.426,6.688,2.26,0.013,1528.619,1198.304
467.734,6.688,2.26,0.013,1530.416,1198.289
467.036,6.688,2.26,0.013,1532.232,1198.274
466.332,6.687,2.26,0.013,1534.065,1198.259
465.621,6.687,2.26,0.013,1535.91,1198.244
# Event BURNOUT occurred at t=3.996 seconds
# Event EJECTION_CHARGE occurred at t=3.996 seconds
464.922,6.687,2.26,0.013,1537.716,1198.229
464.202,6.687,2.26,0.013,1539.562,1198.229
463.484,6.687,2.26,0.013,1541.399,1198.229
462.769,6.687,2.26,0.013,1543.228,1198.229
462.054,6.687,2.26,0.013,1545.045,1198.229
461.342,6.687,2.26,0.013,1546.853,1198.229
460.631,6.687,2.26,0.013,1548.65,1198.229
459.922,6.687,2.26,0.013,1550.438,1198.229
459.214,6.687,2.26,0.013,1552.203,1198.229
458.509,6.687,2.26,0.013,1553.95,1198.229
457.805,6.687,2.26,0.013,1555.682,1198.229
457.102,6.687,2.26,0.013,1557.402,1198.229
456.402,6.687,2.26,0.013,1559.109,1198.229
455.703,6.687,2.26,0.013,1560.802,1198.229
455.005,6.687,2.26,0.013,1562.478,1198.229
454.31,6.687,2.26,0.013,1564.14,1198.229
453.616,6.687,2.26,0.013,1565.783,1198.229
452.923,6.687,2.26,0.013,1567.406,1198.229
452.233,6.687,2.26,0.013,1569.014,1198.229
451.544,6.687,2.26,0.013,1570.605,1198.229
450.856,6.687,2.26,0.013,1572.18,1198.229
450.17,6.687,2.26,0.013,1573.739,1198.229
449.486,6.687,2.26,0.013,1575.282,1198.229
448.803,6.687,2.26,0.013,1576.811,1198.229
448.122,6.687,2.26,0.013,1578.321,1198.229
447.443,6.687,2.26,0.013,1579.815,1198.229
446.765,6.687,2.26,0.013,1581.291,1198.229
446.089,6.687,2.26,0.013,1582.745,1198.229
445.414,6.687,2.26,0.013,1584.18,1198.229
444.741,6.687,2.26,0.013,1585.599,1198.229
444.07,6.687,2.26,0.013,1587.001,1198.229
443.4,6.687,2.26,0.013,1588.387,1198.229
442.731,6.687,2.26,0.013,1589.758,1198.229
442.065,6.687,2.26,0.013,1591.112,1198.229
441.399,6.687,2.26,0.013,1592.45,1198.229
440.736,6.687,2.26,0.013,1593.77,1198.229
440.074,6.687,2.26,0.013,1595.071,1198.229
439.413,6.687,2.26,0.013,1596.355,1198.229
438.754,6.687,2.26,0.013,1597.62,1198.229
438.096,6.687,2.26,0.013,1598.869,1198.229
437.44,6.687,2.26,0.013,1600.102,1198.229
436.786,6.687,2.26,0.013,1601.321,1198.229
436.133,6.687,2.26,0.013,1602.526,1198.229
435.481,6.687,2.26,0.013,1603.716,1198.229
434.831,6.687,2.26,0.013,1604.887,1198.229
434.183,6.687,2.26,0.013,1606.033,1198.229
433.536,6.687,2.26,0.013,1607.165,1198.229
432.89,6.687,2.26,0.013,1608.285,1198.229
432.246,6.687,2.26,0.013,1609.391,1198.229
431.603,6.687,2.26,0.013,1610.481,1198.229
430.962,6.687,2.26,0.013,1611.562,1198.229
430.323,6.687,2.26,0.013,1612.627,1198.229
429.684,6.687,2.26,0.013,1613.668,1198.229
429.048,6.687,2.26,0.013,1614.693,1198.229
428.412,6.687,2.26,0.013,1615.704,1198.229
427.779,6.687,2.26,0.013,1616.703,1198.229
427.146,6.687,2.26,0.013,1617.689,1198.229
426.515,6.687,2.26,0.013,1618.664,1198.229
425.884,6.687,2.26,0.013,1619.623,1198.229
425.255,6.687,2.26,0.013,1620.569,1198.229
424.628,6.687,2.26,0.013,1621.494,1198.229
424.001,6.687,2.26,0.013,1622.406,1198.229
423.376,6.687,2.26,0.013,1623.306,1198.229
422.752,6.687,2.26,0.013,1624.195,1198.229
422.129,6.687,2.26,0.013,1625.071,1198.229
421.507,6.687,2.26,0.013,1625.934,1198.229
420.887,6.687,2.26,0.013,1626.784,1198.229
420.267,6.687,2.26,0.013,1627.623,1198.229
419.649,6.687,2.26,0.013,1628.445,1198.229
419.031,6.687,2.26,0.013,1629.255,1198.229
418.414,6.687,2.26,0.013,1630.054,1198.229
417.798,6.687,2.26,0.013,1630.842,1198.229
417.182,6.687,2.26,0.013,1631.619,1198.229
416.568,6.687,2.26,0.013,1632.384,1198.229
415.955,6.687,2.26,0.013,1633.136,1198.229
415.342,6.687,2.26,0.013,1633.875,1198.229
414.73,6.687,2.26,0.013,1634.603,1198.229
414.119,6.687,2.26,0.013,1635.322,1198.229
413.509,6.687,2.26,0.013,1636.03,1198.229
412.9,6.687,2.26,0.013,1636.724,1198.229
412.291,6.687,2.26,0.013,1637.405,1198.229
411.682,6.687,2.26,0.013,1638.078,1198.229
411.075,6.687,2.26,0.013,1638.742,1198.229
410.467,6.687,2.26,0.013,1639.394,1198.229
409.861,6.687,2.26,0.013,1640.039,1198.229
409.255,6.687,2.26,0.013,1640.671,1198.229
408.65,6.687,2.26,0.013,1641.293,1198.229
408.046,6.687,2.26,0.013,1641.903,1198.229
407.442,6.687,2.26,0.013,1642.502,1198.229
406.839,6.687,2.26,0.013,1643.092,1198.229
406.236,6.687,2.26,0.013,1643.673,1198.229
405.634,6.687,2.26,0.013,1644.245,1198.229
405.032,6.687,2.26,0.013,1644.809,1198.229
404.431,6.687,2.26,0.013,1645.361,1198.229
403.831,6.687,2.26,0.013,1645.902,1198.229
403.23,6.687,2.26,0.013,1646.434,1198.229
402.631,6.687,2.26,0.013,1646.957,1198.229
402.032,6.687,2.26,0.013,1647.47,1198.229
401.433,6.687,2.26,0.013,1647.975,1198.229
400.835,6.687,2.26,0.013,1648.473,1198.229
400.238,6.687,2.26,0.013,1648.96,1198.229
399.641,6.687,2.26,0.013,1649.437,1198.229
399.044,6.687,2.26,0.013,1649.905,1198.229
398.448,6.687,2.26,0.013,1650.363,1198.229
397.853,6.687,2.26,0.013,1650.815,1198.229
397.258,6.687,2.26,0.013,1651.259,1198.229
396.663,6.687,2.26,0.013,1651.692,1198.229
396.069,6.687,2.26,0.013,1652.117,1198.229
395.475,6.687,2.26,0.013,1652.533,1198.229
394.882,6.687,2.26,0.013,1652.941,1198.229
394.29,6.687,2.26,0.013,1653.342,1198.229
393.697,6.687,2.26,0.013,1653.735,1198.229
393.106,6.687,2.26,0.013,1654.119,1198.229
392.515,6.687,2.26,0.013,1654.493,1198.229
391.924,6.687,2.26,0.013,1654.86,1198.229
391.334,6.687,2.26,0.013,1655.217,1198.229
390.744,6.687,2.26,0.013,1655.567,1198.229
390.155,6.687,2.26,0.013,1655.912,1198.229
389.567,6.687,2.26,0.013,1656.249,1198.229
388.979,6.687,2.26,0.013,1656.579,1198.229
388.391,6.687,2.26,0.013,1656.901,1198.229
387.804,6.687,2.26,0.013,1657.212,1198.229
387.218,6.687,2.26,0.013,1657.516,1198.229
386.632,6.687,2.26,0.013,1657.811,1198.229
386.047,6.687,2.26,0.013,1658.103,1198.229
385.462,6.687,2.26,0.013,1658.385,1198.229
384.878,6.687,2.26,0.013,1658.66,1198.229
384.295,6.687,2.26,0.013,1658.928,1198.229
383.712,6.687,2.26,0.013,1659.188,1198.229
383.13,6.687,2.26,0.013,1659.44,1198.229
382.548,6.687,2.26,0.013,1659.686,1198.229
381.967,6.687,2.26,0.013,1659.925,1198.229
381.387,6.687,2.26,0.013,1660.156,1198.229
380.807,6.687,2.26,0.013,1660.38,1198.229
380.228,6.687,2.26,0.013,1660.599,1198.229
379.65,6.687,2.26,0.013,1660.811,1198.229
379.072,6.687,2.26,0.013,1661.016,1198.229
378.495,6.687,2.26,0.013,1661.212,1198.229
377.919,6.687,2.26,0.013,1661.402,1198.229
377.344,6.687,2.26,0.013,1661.584,1198.229
376.77,6.687,2.26,0.013,1661.762,1198.229
376.196,6.687,2.26,0.013,1661.933,1198.229
375.623,6.687,2.26,0.013,1662.101,1198.229
375.051,6.687,2.26,0.013,1662.257,1198.229
374.479,6.687,2.26,0.013,1662.407,1198.229
373.909,6.687,2.26,0.013,1662.551,1198.229
373.339,6.687,2.26,0.013,1662.689,1198.229
372.77,6.687,2.26,0.013,1662.823,1198.229
372.202,6.687,2.26,0.013,1662.951,1198.229
371.635,6.687,2.26,0.013,1663.072,1198.229
371.069,6.687,2.26,0.013,1663.188,1198.229
370.504,6.687,2.26,0.013,1663.296,1198.229
369.94,6.687,2.26,0.013,1663.398,1198.229
369.377,6.687,2.26,0.013,1663.495,1198.229
368.814,6.687,2.26,0.013,1663.585,1198.229
368.253,6.687,2.26,0.013,1663.672,1198.229
367.692,6.687,2.26,0.013,1663.752,1198.229
367.133,6.687,2.26,0.013,1663.824,1198.229
366.575,6.687,2.26,0.013,1663.893,1198.229
366.017,6.687,2.26,0.013,1663.955,1198.229
365.461,6.687,2.26,0.013,1664.012,1198.229
364.906,6.687,2.26,0.013,1664.064,1198.229
364.352,6.687,2.26,0.013,1664.109,1198.229
363.8,6.687,2.26,0.013,1664.15,1198.229
363.248,6.687,2.26,0.013,1664.186,1198.229
362.698,6.687,2.26,0.013,1664.217,1198.229
362.148,6.687,2.26,0.013,1664.242,1198.229
361.6,6.687,2.26,0.013,1664.263,1198.229
361.053,6.687,2.26,0.013,1664.277,1198.229
360.507,6.687,2.26,0.013,1664.287,1198.229
359.962,6.687,2.26,0.013,1664.293,1198.229
359.419,6.687,2.26,0.013,1664.295,1198.229
358.877,6.687,2.26,0.013,1664.289,1198.229
358.336,6.687,2.26,0.013,1664.279,1198.229
357.796,6.687,2.26,0.013,1664.265,1198.229
357.258,6.687,2.26,0.013,1664.246,1198.229
356.721,6.687,2.26,0.013,1664.224,1198.229
356.185,6.687,2.26,0.013,1664.196,1198.229
355.651,6.687,2.26,0.013,1664.165,1198.229
355.118,6.687,2.26,0.013,1664.129,1198.229
354.586,6.687,2.26,0.013,1664.088,1198.229
354.055,6.687,2.26,0.013,1664.042,1198.229
353.526,6.687,2.26,0.013,1663.992,1198.229
352.998,6.687,2.26,0.013,1663.939,1198.229
352.472,6.687,2.26,0.013,1663.881,1198.229
351.947,6.687,2.26,0.013,1663.82,1198.229
351.423,6.687,2.26,0.013,1663.754,1198.229
350.901,6.687,2.26,0.013,1663.683,1198.229
350.381,6.687,2.26,0.013,1663.609,1198.229
349.862,6.687,2.26,0.013,1663.531,1198.229
349.345,6.687,2.26,0.013,1663.451,1198.229
348.829,6.687,2.26,0.013,1663.368,1198.229
348.314,6.687,2.26,0.013,1663.281,1198.229
347.801,6.687,2.26,0.013,1663.189,1198.229
347.29,6.687,2.26,0.013,1663.092,1198.229
346.78,6.687,2.26,0.013,1662.992,1198.229
346.271,6.687,2.26,0.013,1662.89,1198.229
345.764,6.687,2.26,0.013,1662.784,1198.229
345.259,6.687,2.26,0.013,1662.674,1198.229
344.756,6.687,2.26,0.013,1662.563,1198.229
344.255,6.687,2.26,0.013,1662.448,1198.229
343.755,6.687,2.26,0.013,1662.33,1198.229
343.257,6.687,2.26,0.013,1662.209,1198.229
342.76,6.687,2.26,0.013,1662.083,1198.229
342.265,6.687,2.26,0.013,1661.955,1198.229
341.772,6.687,2.26,0.013,1661.824,1198.229
341.28,6.687,2.26,0.013,1661.692,1198.229
340.791,6.687,2.26,0.013,1661.556,1198.229
340.302,6.687,2.26,0.013,1661.417,1198.229
339.816,6.687,2.26,0.013,1661.275,1198.229
339.331,6.687,2.26,0.013,1661.13,1198.229
338.848,6.687,2.26,0.013,1660.982,1198.229
338.367,6.687,2.26,0.013,1660.833,1198.229
337.888,6.687,2.26,0.013,1660.681,1198.229
337.411,6.687,2.26,0.013,1660.527,1198.229
336.936,6.687,2.26,0.013,1660.371,1198.229
336.462,6.687,2.26,0.013,1660.213,1198.229
335.991,6.687,2.26,0.013,1660.053,1198.229
335.521,6.687,2.26,0.013,1659.891,1198.229
335.053,6.687,2.26,0.013,1659.725,1198.229
334.587,6.687,2.26,0.013,1659.557,1198.229
334.122,6.687,2.26,0.013,1659.386,1198.229
333.659,6.687,2.26,0.013,1659.215,1198.229
333.199,6.687,2.26,0.013,1659.042,1198.229
332.74,6.687,2.26,0.013,1658.868,1198.229
332.283,6.687,2.26,0.013,1658.693,1198.229
331.828,6.687,2.26,0.013,1658.516,1198.229
331.375,6.687,2.26,0.013,1658.336,1198.229
330.924,6.687,2.26,0.013,1658.153,1198.229
330.476,6.687,2.26,0.013,1657.968,1198.229
330.029,6.687,2.26,0.013,1657.784,1198.229
329.584,6.687,2.26,0.013,1657.598,1198.229
329.141,6.687,2.26,0.013,1657.41,1198.229
328.7,6.687,2.26,0.013,1657.222,1198.229
328.261,6.687,2.26,0.013,1657.032,1198.229
327.824,6.687,2.26,0.013,1656.842,1198.229
327.389,6.687,2.26,0.013,1656.649,1198.229
326.955,6.687,2.26,0.013,1656.454,1198.229
326.524,6.687,2.26,0.013,1656.258,1198.229
326.093,6.687,2.26,0.013,1656.061,1198.229
325.664,6.687,2.26,0.013,1655.863,1198.229
325.235,6.687,2.26,0.013,1655.664,1198.229
324.808,6.687,2.26,0.013,1655.463,1198.229
324.381,6.687,2.26,0.013,1655.26,1198.229
323.956,6.687,2.26,0.013,1655.055,1198.229
323.531,6.687,2.26,0.013,1654.85,1198.229
323.107,6.687,2.26,0.013,1654.643,1198.229
322.684,6.687,2.26,0.013,1654.435,1198.229
322.262,6.687,2.26,0.013,1654.226,1198.229
321.841,6.687,2.26,0.013,1654.016,1198.229
321.421,6.687,2.26,0.013,1653.804,1198.229
321.002,6.687,2.26,0.013,1653.592,1198.229
320.584,6.687,2.26,0.013,1653.377,1198.229
320.166,6.687,2.26,0.013,1653.161,1198.229
319.75,6.687,2.26,0.013,1652.944,1198.229
319.334,6.687,2.26,0.013,1652.726,1198.229
318.919,6.687,2.26,0.013,1652.507,1198.229
318.506,6.687,2.26,0.013,1652.286,1198.229
318.093,6.687,2.26,0.013,1652.066,1198.229
317.681,6.687,2.26,0.013,1651.844,1198.229
317.269,6.687,2.26,0.013,1651.622,1198.229
316.859,6.687,2.26,0.013,1651.399,1198.229
316.45,6.687,2.26,0.013,1651.174,1198.229
316.041,6.687,2.26,0.013,1650.947,1198.229
315.633,6.687,2.26,0.013,1650.719,1198.229
315.226,6.687,2.26,0.013,1650.49,1198.229
314.82,6.687,2.26,0.013,1650.26,1198.229
314.415,6.687,2.26,0.013,1650.03,1198.229
314.011,6.687,2.26,0.013,1649.802,1198.229
313.607,6.687,2.26,0.013,1649.572,1198.229
313.205,6.687,2.26,0.013,1649.342,1198.229
312.803,6.687,2.26,0.013,1649.11,1198.229
312.402,6.687,2.26,0.013,1648.878,1198.229
312.002,6.687,2.26,0.013,1648.645,1198.229
311.602,6.687,2.26,0.013,1648.41,1198.229
311.204,6.687,2.26,0.013,1648.176,1198.229
310.806,6.687,2.26,0.013,1647.939,1198.229
310.41,6.687,2.26,0.013,1647.704,1198.229
310.014,6.687,2.26,0.013,1647.468,1198.229
309.618,6.687,2.26,0.013,1647.232,1198.229
309.224,6.687,2.26,0.013,1646.994,1198.229
308.83,6.687,2.26,0.013,1646.757,1198.229
308.438,6.687,2.26,0.013,1646.519,1198.229
308.046,6.687,2.26,0.013,1646.281,1198.229
307.655,6.687,2.26,0.013,1646.042,1198.229
307.264,6.687,2.26,0.013,1645.803,1198.229
306.875,6.687,2.26,0.013,1645.564,1198.229
306.486,6.687,2.26,0.013,1645.323,1198.229
306.098,6.687,2.26,0.013,1645.082,1198.229
305.711,6.687,2.26,0.013,1644.841,1198.229
305.324,6.687,2.26,0.013,1644.599,1198.229
304.939,6.687,2.26,0.013,1644.358,1198.229
304.554,6.687,2.26,0.013,1644.119,1198.229
304.17,6.687,2.26,0.013,1643.878,1198.229
303.787,6.687,2.26,0.013,1643.638,1198.229
303.404,6.687,2.26,0.013,1643.397,1198.229
303.022,6.687,2.26,0.013,1643.156,1198.229
302.641,6.687,2.26,0.013,1642.915,1198.229
302.261,6.687,2.26,0.013,1642.673,1198.229
301.881,6.687,2.26,0.013,1642.432,1198.229
301.503,6.687,2.26,0.013,1642.191,1198.229
301.125,6.687,2.26,0.013,1641.949,1198.229
300.748,6.687,2.26,0.013,1641.708,1198.229
300.371,6.687,2.26,0.013,1641.468,1198.229
299.995,6.687,2.26,0.013,1641.228,1198.229
299.62,6.687,2.26,0.013,1640.988,1198.229
299.246,6.687,2.26,0.013,1640.748,1198.229
298.873,6.687,2.26,0.013,1640.508,1198.229
298.5,6.687,2.26,0.013,1640.267,1198.229
298.128,6.687,2.26,0.013,1640.026,1198.229
297.757,6.687,2.26,0.013,1639.786,1198.229
297.386,6.687,2.26,0.013,1639.546,1198.229
297.016,6.687,2.26,0.013,1639.307,1198.229
296.647,6.687,2.26,0.013,1639.068,1198.229
296.278,6.687,2.26,0.013,1638.829,1198.229
295.911,6.687,2.26,0.013,1638.593,1198.229
295.544,6.687,2.26,0.013,1638.357,1198.229
295.178,6.687,2.26,0.013,1638.121,1198.229
294.812,6.687,2.26,0.013,1637.885,1198.229
294.447,6.687,2.26,0.013,1637.649,1198.229
294.083,6.687,2.26,0.013,1637.413,1198.229
293.719,6.687,2.26,0.013,1637.176,1198.229
293.357,6.687,2.26,0.013,1636.941,1198.229
292.995,6.687,2.26,0.013,1636.706,1198.229
292.634,6.687,2.26,0.013,1636.474,1198.229
292.274,6.687,2.26,0.013,1636.243,1198.229
291.915,6.687,2.26,0.013,1636.015,1198.229
291.558,6.687,2.26,0.013,1635.788,1198.229
291.201,6.687,2.26,0.013,1635.562,1198.229
290.846,6.687,2.26,0.013,1635.338,1198.229
290.492,6.687,2.26,0.013,1635.114,1198.229
290.139,6.687,2.26,0.013,1634.889,1198.229
289.787,6.687,2.26,0.013,1634.666,1198.229
289.437,6.687,2.26,0.013,1634.445,1198.229
289.087,6.687,2.26,0.013,1634.225,1198.229
288.739,6.687,2.26,0.013,1634.007,1198.229
288.391,6.687,2.26,0.013,1633.791,1198.229
288.045,6.687,2.26,0.013,1633.577,1198.229
287.699,6.687,2.26,0.013,1633.364,1198.229
287.355,6.687,2.26,0.013,1633.152,1198.229
287.012,6.687,2.26,0.013,1632.94,1198.229
286.67,6.687,2.26,0.013,1632.727,1198.229
286.328,6.687,2.26,0.013,1632.515,1198.229
285.988,6.687,2.26,0.013,1632.306,1198.229
285.649,6.687,2.26,0.013,1632.098,1198.229
285.311,6.687,2.26,0.013,1631.891,1198.229
284.973,6.687,2.26,0.013,1631.686,1198.229
284.637,6.687,2.26,0.013,1631.483,1198.229
284.302,6.687,2.26,0.013,1631.281,1198.229
283.967,6.687,2.26,0.013,1631.081,1198.229
283.634,6.687,2.26,0.013,1630.881,1198.229
283.301,6.687,2.26,0.013,1630.679,1198.229
282.97,6.687,2.26,0.013,1630.48,1198.229
282.639,6.687,2.26,0.013,1630.28,1198.229
282.309,6.687,2.26,0.013,1630.082,1198.229
281.98,6.687,2.26,0.013,1629.885,1198.229
281.652,6.687,2.26,0.013,1629.689,1198.229
281.325,6.687,2.26,0.013,1629.496,1198.229
280.999,6.687,2.26,0.013,1629.305,1198.229
280.673,6.687,2.26,0.013,1629.115,1198.229
280.349,6.687,2.26,0.013,1628.926,1198.229
280.025,6.687,2.26,0.013,1628.738,1198.229
279.703,6.687,2.26,0.013,1628.546,1198.229
279.381,6.687,2.26,0.013,1628.356,1198.229
279.06,6.687,2.26,0.013,1628.166,1198.229
278.739,6.687,2.26,0.013,1627.979,1198.229
278.42,6.687,2.26,0.013,1627.792,1198.229
278.101,6.687,2.26,0.013,1627.609,1198.229
277.783,6.687,2.26,0.013,1627.427,1198.229
277.466,6.687,2.26,0.013,1627.246,1198.229
277.15,6.687,2.26,0.013,1627.066,1198.229
276.835,6.687,2.26,0.013,1626.886,1198.229
276.52,6.687,2.26,0.013,1626.704,1198.229
276.207,6.687,2.26,0.013,1626.523,1198.229
275.894,6.687,2.26,0.013,1626.342,1198.229
275.581,6.687,2.26,0.013,1626.165,1198.229
275.27,6.687,2.26,0.013,1625.987,1198.229
274.959,6.687,2.26,0.013,1625.811,1198.229
274.649,6.687,2.26,0.013,1625.637,1198.229
274.34,6.687,2.26,0.013,1625.463,1198.229
274.032,6.687,2.26,0.013,1625.291,1198.229
273.724,6.687,2.26,0.013,1625.119,1198.229
273.417,6.687,2.26,0.013,1624.947,1198.229
273.111,6.687,2.26,0.013,1624.774,1198.229
272.805,6.687,2.26,0.013,1624.602,1198.229
272.501,6.687,2.26,0.013,1624.43,1198.229
272.197,6.687,2.26,0.013,1624.26,1198.229
271.893,6.687,2.26,0.013,1624.091,1198.229
271.591,6.687,2.26,0.013,1623.923,1198.229
271.289,6.687,2.26,0.013,1623.757,1198.229
270.988,6.687,2.26,0.013,1623.592,1198.229
270.687,6.687,2.26,0.013,1623.429,1198.229
270.388,6.687,2.26,0.013,1623.267,1198.229
270.088,6.687,2.26,0.013,1623.105,1198.229
269.79,6.687,2.26,0.013,1622.942,1198.229
269.492,6.687,2.26,0.013,1622.779,1198.229
269.195,6.687,2.26,0.013,1622.616,1198.229
268.899,6.687,2.26,0.013,1622.453,1198.229
268.603,6.687,2.26,0.013,1622.292,1198.229
268.308,6.687,2.26,0.013,1622.132,1198.229
268.014,6.687,2.26,0.013,1621.972,1198.229
267.72,6.687,2.26,0.013,1621.814,1198.229
267.427,6.687,2.26,0.013,1621.657,1198.229
267.135,6.687,2.26,0.013,1621.502,1198.229
266.843,6.687,2.26,0.013,1621.348,1198.229
266.552,6.687,2.26,0.013,1621.194,1198.229
266.261,6.687,2.26,0.013,1621.041,1198.229
265.972,6.687,2.26,0.013,1620.887,1198.229
265.682,6.687,2.26,0.013,1620.731,1198.229
265.394,6.687,2.26,0.013,1620.576,1198.229
265.106,6.687,2.26,0.013,1620.422,1198.229
264.818,6.687,2.26,0.013,1620.269,1198.229
264.532,6.687,2.26,0.013,1620.118,1198.229
264.246,6.687,2.26,0.013,1619.966,1198.229
263.96,6.687,2.26,0.013,1619.817,1198.229
263.675,6.687,2.26,0.013,1619.67,1198.229
263.391,6.687,2.26,0.013,1619.522,1198.229
263.107,6.687,2.26,0.013,1619.375,1198.229
262.824,6.687,2.26,0.013,1619.229,1198.229
262.542,6.687,2.26,0.013,1619.084,1198.229
262.26,6.687,2.26,0.013,1618.938,1198.229
261.978,6.687,2.26,0.013,1618.791,1198.229
261.698,6.687,2.26,0.013,1618.644,1198.229
261.417,6.687,2.26,0.013,1618.497,1198.229
261.138,6.687,2.26,0.013,1618.352,1198.229
260.859,6.687,2.26,0.013,1618.208,1198.229
260.58,6.687,2.26,0.013,1618.064,1198.229
260.302,6.687,2.26,0.013,1617.922,1198.229
260.025,6.687,2.26,0.013,1617.781,1198.229
259.748,6.687,2.26,0.013,1617.64,1198.229
259.472,6.687,2.26,0.013,1617.501,1198.229
259.196,6.687,2.26,0.013,1617.361,1198.229
258.921,6.687,2.26,0.013,1617.223,1198.229
258.647,6.687,2.26,0.013,1617.086,1198.229
258.373,6.687,2.26,0.013,1616.948,1198.229
258.099,6.687,2.26,0.013,1616.808,1198.229
257.826,6.687,2.26,0.013,1616.669,1198.229
257.554,6.687,2.26,0.013,1616.53,1198.229
257.282,6.687,2.26,0.013,1616.393,1198.229
257.011,6.687,2.26,0.013,1616.257,1198.229
256.74,6.687,2.26,0.013,1616.122,1198.229
256.47,6.687,2.26,0.013,1615.987,1198.229
256.2,6.687,2.26,0.013,1615.852,1198.229
255.931,6.687,2.26,0.013,1615.718,1198.229
255.662,6.687,2.26,0.013,1615.587,1198.229
255.394,6.687,2.26,0.013,1615.455,1198.229
255.126,6.687,2.26,0.013,1615.323,1198.229
254.859,6.687,2.26,0.013,1615.191,1198.229
254.593,6.687,2.26,0.013,1615.059,1198.229
254.327,6.687,2.26,0.013,1614.928,1198.229
254.061,6.687,2.26,0.013,1614.797,1198.229
253.796,6.687,2.26,0.013,1614.666,1198.229
253.531,6.687,2.26,0.013,1614.536,1198.229
253.267,6.687,2.26,0.013,1614.407,1198.229
253.003,6.687,2.26,0.013,1614.279,1198.229
252.74,6.687,2.26,0.013,1614.151,1198.229
252.478,6.687,2.26,0.013,1614.024,1198.229
252.216,6.687,2.26,0.013,1613.897,1198.229
251.954,6.687,2.26,0.013,1613.771,1198.229
251.693,6.687,2.26,0.013,1613.645,1198.229
251.432,6.687,2.26,0.013,1613.52,1198.229
251.172,6.687,2.26,0.013,1613.394,1198.229
250.912,6.687,2.26,0.013,1613.269,1198.229
250.653,6.687,2.26,0.013,1613.144,1198.229
250.394,6.687,2.26,0.013,1613.019,1198.229
250.136,6.687,2.26,0.013,1612.896,1198.229
249.878,6.687,2.26,0.013,1612.773,1198.229
249.621,6.687,2.26,0.013,1612.65,1198.229
249.364,6.687,2.26,0.013,1612.527,1198.229
249.107,6.687,2.26,0.013,1612.405,1198.229
248.851,6.687,2.26,0.013,1612.284,1198.229
248.596,6.687,2.26,0.013,1612.164,1198.229
248.341,6.687,2.26,0.013,1612.044,1198.229
248.086,6.687,2.26,0.013,1611.925,1198.229
247.832,6.687,2.26,0.013,1611.806,1198.229
247.578,6.687,2.26,0.013,1611.688,1198.229
247.325,6.687,2.26,0.013,1611.569,1198.229
247.072,6.687,2.26,0.013,1611.449,1198.229
246.82,6.687,2.26,0.013,1611.33,1198.229
246.568,6.687,2.26,0.013,1611.211,1198.229
246.317,6.687,2.26,0.013,1611.093,1198.229
246.066,6.687,2.26,0.013,1610.975,1198.229
245.815,6.687,2.26,0.013,1610.858,1198.229
245.565,6.687,2.26,0.013,1610.742,1198.229
245.315,6.687,2.26,0.013,1610.627,1198.229
245.066,6.687,2.26,0.013,1610.512,1198.229
244.817,6.687,2.26,0.013,1610.398,1198.229
244.569,6.687,2.26,0.013,1610.284,1198.229
244.32,6.687,2.26,0.013,1610.171,1198.229
244.073,6.687,2.26,0.013,1610.059,1198.229
243.826,6.687,2.26,0.013,1609.947,1198.229
243.579,6.687,2.26,0.013,1609.834,1198.229
243.333,6.687,2.26,0.013,1609.721,1198.229
243.087,6.687,2.26,0.013,1609.608,1198.229
