# Total velocity (m/s),Mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
37.648,9.182,2.744,0.015,NaN,1326.169
37.992,9.181,2.744,0.015,NaN,1326.104
38.335,9.179,2.743,0.015,NaN,1326.038
38.679,9.177,2.743,0.015,NaN,1325.972
39.024,9.175,2.743,0.015,NaN,1325.906
39.368,9.174,2.743,0.015,NaN,1325.84
39.713,9.172,2.742,0.015,NaN,1325.774
40.058,9.17,2.742,0.015,NaN,1325.708
40.403,9.168,2.742,0.015,NaN,1325.642
40.748,9.166,2.742,0.015,NaN,1325.576
41.094,9.165,2.741,0.015,NaN,1325.51
41.439,9.163,2.741,0.015,NaN,1325.444
41.785,9.161,2.741,0.015,NaN,1325.378
42.132,9.159,2.741,0.015,NaN,1325.312
42.478,9.158,2.74,0.015,NaN,1325.246
42.825,9.156,2.74,0.015,NaN,1325.18
43.172,9.154,2.74,0.015,NaN,1325.114
43.519,9.152,2.739,0.015,NaN,1325.047
43.866,9.151,2.739,0.015,NaN,1324.981
44.214,9.149,2.739,0.015,NaN,1324.915
44.562,9.147,2.739,0.015,NaN,1324.849
44.91,9.145,2.738,0.015,NaN,1324.782
45.258,9.144,2.738,0.015,NaN,1324.716
45.607,9.142,2.738,0.015,NaN,1324.65
45.956,9.14,2.738,0.015,NaN,1324.583
46.305,9.138,2.737,0.015,NaN,1324.517
46.654,9.137,2.737,0.015,NaN,1324.45
47.003,9.135,2.737,0.015,NaN,1324.384
47.353,9.133,2.737,0.015,NaN,1324.317
47.703,9.131,2.736,0.015,NaN,1324.251
48.053,9.129,2.736,0.015,NaN,1324.184
48.403,9.128,2.736,0.015,NaN,1324.118
48.754,9.126,2.735,0.015,NaN,1324.051
49.105,9.124,2.735,0.015,NaN,1323.985
49.456,9.122,2.735,0.015,NaN,1323.918
49.807,9.121,2.735,0.015,NaN,1323.851
50.159,9.119,2.734,0.015,NaN,1323.785
50.51,9.117,2.734,0.015,NaN,1323.718
50.862,9.115,2.734,0.015,NaN,1323.651
51.214,9.114,2.734,0.015,NaN,1323.584
51.567,9.112,2.733,0.015,NaN,1323.517
51.919,9.11,2.733,0.015,NaN,1323.451
52.272,9.108,2.733,0.015,NaN,1323.384
52.625,9.107,2.733,0.015,NaN,1323.317
52.979,9.105,2.732,0.015,NaN,1323.25
53.332,9.103,2.732,0.015,NaN,1323.183
53.686,9.101,2.732,0.015,NaN,1323.116
54.04,9.1,2.731,0.015,NaN,1323.049
54.394,9.098,2.731,0.015,NaN,1322.982
54.749,9.096,2.731,0.015,NaN,1322.915
55.103,9.094,2.731,0.015,NaN,1322.848
55.458,9.092,2.73,0.015,NaN,1322.781
55.813,9.091,2.73,0.015,NaN,1322.714
56.169,9.089,2.73,0.015,NaN,1322.647
56.524,9.087,2.73,0.015,NaN,1322.58
56.88,9.085,2.729,0.015,NaN,1322.512
57.236,9.084,2.729,0.015,NaN,1322.445
57.592,9.082,2.729,0.015,NaN,1322.378
57.949,9.08,2.728,0.015,NaN,1322.311
58.306,9.078,2.728,0.015,NaN,1322.243
58.663,9.077,2.728,0.015,NaN,1322.176
59.02,9.075,2.728,0.015,NaN,1322.109
59.377,9.073,2.727,0.015,NaN,1322.041
59.735,9.071,2.727,0.015,NaN,1321.974
60.093,9.07,2.727,0.015,NaN,1321.907
60.451,9.068,2.727,0.015,NaN,1321.839
60.809,9.066,2.726,0.015,NaN,1321.772
61.167,9.064,2.726,0.015,NaN,1321.704
61.526,9.063,2.726,0.015,NaN,1321.637
61.885,9.061,2.726,0.015,NaN,1321.569
62.244,9.059,2.725,0.015,NaN,1321.501
62.604,9.057,2.725,0.015,NaN,1321.434
62.963,9.055,2.725,0.015,NaN,1321.366
63.323,9.054,2.724,0.015,NaN,1321.299
63.683,9.052,2.724,0.015,NaN,1321.231
64.044,9.05,2.724,0.015,NaN,1321.163
64.404,9.048,2.724,0.015,NaN,1321.095
64.765,9.047,2.723,0.015,NaN,1321.028
# Event LAUNCHROD occurred at t=0.402 seconds
65.126,9.045,2.723,0.015,NaN,1320.96
65.668,9.042,2.723,0.015,1565.938,1320.858
66.482,9.038,2.722,0.015,1566.025,1320.705
67.705,9.032,2.721,0.015,1566.158,1320.476
69.521,9.024,2.72,0.015,1566.36,1320.136
71.343,9.015,2.718,0.015,1566.568,1319.795
73.171,9.006,2.717,0.015,1566.781,1319.453
75.004,8.997,2.716,0.014,1566.999,1319.11
76.836,8.988,2.714,0.014,1567.223,1318.759
78.663,8.979,2.713,0.014,1567.451,1318.407
80.484,8.97,2.711,0.014,1567.685,1318.054
82.299,8.961,2.71,0.014,1567.923,1317.701
84.115,8.952,2.709,0.014,1568.167,1317.348
85.934,8.943,2.707,0.014,1568.416,1316.994
87.759,8.934,2.706,0.014,1568.672,1316.64
89.587,8.925,2.704,0.014,1568.934,1316.285
91.42,8.916,2.703,0.014,1569.201,1315.928
93.254,8.907,2.702,0.014,1569.474,1315.57
95.09,8.898,2.7,0.014,1569.752,1315.21
96.927,8.889,2.699,0.014,1570.035,1314.85
98.765,8.88,2.697,0.014,1570.324,1314.489
100.605,8.871,2.696,0.014,1570.617,1314.128
102.446,8.862,2.694,0.014,1570.914,1313.765
104.288,8.853,2.693,0.014,1571.216,1313.402
106.132,8.844,2.692,0.014,1571.522,1313.039
107.977,8.835,2.69,0.014,1571.832,1312.674
109.824,8.826,2.689,0.014,1572.145,1312.309
111.671,8.816,2.687,0.014,1572.443,1311.943
113.52,8.807,2.686,0.014,1572.609,1311.576
115.371,8.798,2.684,0.014,1572.781,1311.208
117.222,8.789,2.683,0.014,1572.961,1310.84
119.075,8.78,2.681,0.014,1573.149,1310.471
120.929,8.771,2.68,0.014,1573.346,1310.101
122.784,8.762,2.679,0.014,1573.551,1309.731
124.64,8.753,2.677,0.014,1573.765,1309.359
126.498,8.744,2.676,0.014,1573.989,1308.987
128.356,8.735,2.674,0.014,1574.224,1308.614
130.216,8.726,2.673,0.014,1574.469,1308.241
132.077,8.717,2.671,0.014,1574.725,1307.866
133.939,8.708,2.67,0.014,1574.993,1307.491
135.802,8.699,2.668,0.014,1575.272,1307.115
137.666,8.69,2.667,0.014,1575.564,1306.738
139.531,8.681,2.665,0.014,1575.867,1306.361
